1;Ko;217907
2;Ka;212600
3;Sa;192569
4;La;173604
5;Ha;164994
6;Le;129513
7;He;120353
8;Ma;116180
9;Pa;113396
10;Ra;109582
11;Ku;103406
12;Pe;96380
13;Vi;95652
14;Ni;92227
15;Mä;91793
16;Li;89687
17;Si;85030
18;Va;80848
19;Tu;78718
20;Ki;74527
21;Ta;72442
22;Ke;69979
23;Pi;67589
24;Su;64841
25;Hu;59366
26;Hi;57038
27;Ho;56883
28;To;52511
29;Pu;52348
30;Hä;52200
31;Ri;52034
32;Ah;47229
33;Vä;46298
34;Jä;45973
35;Ju;44504
36;Jo;44256
37;Ti;43070
38;Lu;41690
39;Ro;37301
40;Al;36829
41;Ja;36009
42;Nu;35207
43;Mi;35073
44;Mu;34816
45;Ru;34401
46;Ve;33343
47;Hy;32667
48;Ny;32546
49;Se;31502
50;Kä;31302
51;An;30603
52;Po;30350
53;So;29319
54;Me;27360
55;Yl;26911
56;Vu;25403
57;Re;24832
58;Aa;24111
59;Mo;23991
60;Te;23389
61;St;23106
62;Rä;22966
63;Gr;22629
64;No;20824
65;Oj;20584
66;My;19667
67;Ky;18627
68;Er;16567
69;Wi;15579
70;Ar;15501
71;Lo;15441
72;Py;15350
73;Ol;15109
74;Ne;15051
75;Is;14908
76;Pä;13805
77;Au;13175
78;Lä;13162
79;Ek;12893
80;Uu;12559
81;We;12537
82;Be;12316
83;Pö;12164
84;Fo;12124
85;Wa;11546
86;Ok;11052
87;El;10869
88;Ik;10815
89;Sy;10650
90;Ry;10533
91;Tö;10494
92;Sä;10427
93;Ai;10386
94;As;10004
95;Fr;9922
96;Il;9822
97;Es;9732
98;Lö;9401
99;Rö;8948
100;Bj;8919
101;Oi;8797
102;Sj;8656
103;Ba;8583
104;Kr;8553
105;Bl;8230
106;Im;8202
107;Na;8080
108;En;7962
109;Ty;7733
110;Br;7615
111;In;7518
112;Vo;7293
113;Nä;7112
114;Sö;7063
115;Kl;6700
116;Da;6661
117;Bo;6638
118;Fa;6636
119;Or;6337
120;Hö;6055
121;Ös;5938
122;Ly;5778
123;Gu;5296
124;Mö;5193
125;Jy;5159
126;Kn;5114
127;Fi;4710
128;Ih;4523
129;Sv;4405
130;Sc;4335
131;Sk;4308
132;Ii;4099
133;Kö;3914
134;Sn;3755
135;Bä;3707
136;Tä;3642
137;Uo;3525
138;Ee;3494
139;Fl;3426
140;Uk;3329
141;Sm;3173
142;Je;3137
143;Yr;3058
144;Ca;2802
145;It;2720
146;Äi;2710
147;Åk;2664
148;Tr;2650
149;Ur;2647
150;Ul;2627
151;Oh;2596
152;Ov;2516
153;Th;2511
154;Lå;2318
155;Pr;2145
156;Ui;2132
157;Et;2117
158;Ab;2105
159;Ut;2062
160;Bu;1866
161;Hj;1845
162;On;1811
163;Ga;1711
164;vo;1707
165;Ak;1697
166;Fe;1696
167;Öh;1652
168;Ng;1555
169;Os;1497
170;Ei;1441
171;Sh;1438
172;Co;1427
173;Ap;1370
174;Åb;1343
175;Eh;1281
176;Am;1228
177;Du;1169
178;Ad;1163
179;Us;1158
180;De;1154
181;Ce;1116
182;By;1105
183;Ij;1104
184;Bi;1099
185;Kv;1096
186;Ch;1085
187;Ot;1082
188;Ou;1051
189;Ås;1021
190;Fä;994
191;Sp;977
192;Qv;975
193;Av;940
194;Ge;923
195;Do;909
196;Di;895
197;Un;876
198;Go;832
199;Gl;829
200;Ör;799
201;Kh;789
202;Bö;781
203;Pl;777
204;Iv;774
205;Må;753
206;Wu;735
207;Ed;713
208;Wä;678
209;Fö;657
210;Sl;637
211;Gy;634
212;Lj;632
213;Ud;625
214;Rå;623
215;Åh;604
216;Ph;602
217;Gi;581
218;Fu;570
219;Zi;567
220;Ää;566
221;Åm;553
222;Wo;540
223;Ib;538
224;Gä;538
225;Äm;535
226;Yi;526
227;Aj;521
228;Ev;509
229;Gö;502
230;Om;502
231;Hå;493
232;Ig;482
233;Kj;473
234;Ål;464
235;Uh;434
236;Id;426
237;Ts;426
238;Än;424
239;Öv;422
240;Äy;421
241;Cl;401
242;Dr;385
243;Wr;378
244;Up;378
245;Bå;362
246;Åg;360
247;Är;352
248;Ze;343
249;Yu;341
250;Yp;324
251;Ac;323
252;Öl;317
253;Mü;301
254;Ir;299
255;Zh;297
256;Ya;293
257;Fy;292
258;Eu;289
259;Ax;285
260;Gü;283
261;Jö;259
262;Vy;258
263;af;258
264;Az;249
265;Öb;246
266;Fj;236
267;Em;234
268;At;226
269;På;211
270;Dj;208
271;Kå;208
272;al;205
273;Åv;202
274;Nö;200
275;Tj;195
276;Sw;187
277;Bh;178
278;Jå;172
279;O';169
280;Eg;155
281;Yo;153
282;Öz;149
283;Cr;147
284;Vl;146
285;Eb;142
286;Op;136
287;Ec;129
288;Af;128
289;Dy;125
290;de;124
291;Så;123
292;Ae;120
293;Qu;119
294;Äk;119
295;Ug;118
296;Åd;117
297;Öm;115
298;Tv;113
299;Vö;111
300;Wö;110
301;Tå;101
302;Çe;101
303;Ji;101
304;Uj;100
305;Wh;99
306;Oe;95
307;Ån;94
308;Ag;90
309;Ip;90
310;Öf;89
311;Yk;85
312;Ow;85
313;Vå;84
314;Za;82
315;Qa;80
316;Ep;79
317;Ay;78
318;Nj;77
319;Öy;75
320;Pf;73
321;Gh;71
322;Gå;70
323;Dm;62
324;Zw;59
325;Ci;58
326;Cu;58
327;Äs;56
328;Ög;54
329;Ew;52
330;Kü;52
331;Aw;51
332;Xu;50
333;Nå;47
334;Åf;46
335;Öö;46
336;Få;44
337;Sø;44
338;Nd;43
339;Äl;43
340;Cy;39
341;Ex;36
342;Jø;36
343;Tü;36
344;Iq;33
345;Åt;33
346;Mc;32
347;Oo;32
348;Ün;31
349;Yy;31
350;Od;30
351;Yö;30
352;Hv;29
353;Jü;29
354;Zu;28
355;da;27
356;Mé;27
357;Ys;26
358;Ço;25
359;Tk;25
360;Um;25
361;Ea;24
362;Io;24
363;Rr;24
364;Tm;24
365;Yü;24
366;el;23
367;Lê;23
368;Ox;23
369;Qo;23
370;Rm;23
371;Ye;23
372;Yh;23
373;Yt;23
374;Bü;22
375;Uy;22
376;Ym;22
377;Hr;21
378;Qe;21
379;Qi;21
380;Wå;21
381;Äh;21
382;Rc;20
383;Uz;20
